vsacname,codesystem,code,description
AbortiveOutcome,SNOMEDCT,1.08E+16,Urinary tract infection due to incomplete miscarriage (disorder)
AbortiveOutcome,SNOMEDCT,1.61E+13,Incomplete induced termination of pregnancy with complication (disorder)
AbortiveOutcome,SNOMEDCT,1.61E+13,Incomplete spontaneous abortion due to hemorrhage (disorder)
AbortiveOutcome,SNOMEDCT,1.68E+16,Miscarriage of left tubal ectopic pregnancy (disorder)
AbortiveOutcome,SNOMEDCT,1.68E+16,Miscarriage of right tubal ectopic pregnancy (disorder)
AbortiveOutcome,SNOMEDCT,6.25E+12,Induced termination of pregnancy in first trimester (disorder)
AbortiveOutcome,SNOMEDCT,6.26E+12,Induced termination of pregnancy in second trimester (disorder)
AbortiveOutcome,ICD10CM,O00.0,Abdominal pregnancy
AbortiveOutcome,ICD10CM,O00.00,Abdominal pregnancy without intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.01,Abdominal pregnancy with intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.1,Tubal pregnancy
AbortiveOutcome,ICD10CM,O00.10,Tubal pregnancy without intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.101,Right tubal pregnancy without intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.102,Left tubal pregnancy without intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.109,Unspecified tubal pregnancy without intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.11,Tubal pregnancy with intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.111,Right tubal pregnancy with intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.112,Left tubal pregnancy with intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.119,Unspecified tubal pregnancy with intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.2,Ovarian pregnancy
AbortiveOutcome,ICD10CM,O00.20,Ovarian pregnancy without intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.201,Right ovarian pregnancy without intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.202,Left ovarian pregnancy without intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.209,Unspecified ovarian pregnancy without intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.21,Ovarian pregnancy with intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.211,Right ovarian pregnancy with intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.212,Left ovarian pregnancy with intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.219,Unspecified ovarian pregnancy with intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.8,Other ectopic pregnancy
AbortiveOutcome,ICD10CM,O00.80,Other ectopic pregnancy without intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.81,Other ectopic pregnancy with intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.9,"Ectopic pregnancy, unspecified"
AbortiveOutcome,ICD10CM,O00.90,Unspecified ectopic pregnancy without intrauterine pregnancy
AbortiveOutcome,ICD10CM,O00.91,Unspecified ectopic pregnancy with intrauterine pregnancy
AbortiveOutcome,ICD10CM,O01.0,Classical hydatidiform mole
AbortiveOutcome,ICD10CM,O01.1,Incomplete and partial hydatidiform mole
AbortiveOutcome,ICD10CM,O01.9,"Hydatidiform mole, unspecified"
AbortiveOutcome,ICD10CM,O02.0,Blighted ovum and nonhydatidiform mole
AbortiveOutcome,ICD10CM,O02.1,Missed abortion
AbortiveOutcome,ICD10CM,O02.8,Other specified abnormal products of conception
AbortiveOutcome,ICD10CM,O02.81,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy
AbortiveOutcome,ICD10CM,O02.89,Other abnormal products of conception
AbortiveOutcome,ICD10CM,O02.9,"Abnormal product of conception, unspecified"
